id,name,manufacturer,price,quantity,description,certifications,image1
72,EcoSticky Notes,EcoSticky,120,"100 sheets per pad, 10 pads","Crafted from recycled paper and non-toxic adhesive, these notes are biodegradable and come in minimal packaging to reduce waste.","FSC Certified, Cradle to Cradle Certified",https://mhglobal.com/image/cache/catalog/all_product/S146_4-550x550.jpg
73,GreenNotes Sticky Pads,GreenNotes,130,"100 sheets per pad, 8 pads","These sticky notes are made from post-consumer recycled content and use a water-based adhesive, ensuring a lower carbon footprint.","Blue Angel Certified, FSC Certified",https://m.media-amazon.com/images/I/61RV5jLUOIL.jpg
81,Eco Paper Tape,Noissue,450,50 meters,"Made from FSC-certified paper, this tape is biodegradable and compostable. It uses a natural rubber adhesive, ensuring a sustainable sealing solution.","FSC, Compostable (TUV Austria)",https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3935906203107918971
82,Biodegradable Packing Tape,EcoEnclose,600,48 meters,"This tape is crafted from renewable resources and features a water-activated adhesive. It is fully recyclable and compostable, reducing landfill waste.","FSC, Cradle to Cradle Certified",https://cdn11.bigcommerce.com/s-rd0ndag3a6/images/stencil/original/products/153/2926/Cello_500x500__13853.1623080476.jpg?c=2
83,Kraft Paper Tape,Better Packaging Co.,550,50 meters,"Composed of 100% recycled paper, this tape is reinforced for strength and uses a non-toxic adhesive. It is designed to be recyclable with cardboard.","FSC, Climate Neutral Certified",https://i.ebayimg.com/00/s/MTI1NFgxMjU0/z/5BoAAeSwnQxqbNXa/$_57.PNG?set_id=880000500F
91,Staedtler Mars Plastic Eraser,Staedtler,50,1 piece,"Made from PVC-free material, this eraser is designed to minimize environmental impact while providing clean erasing with minimal crumbling.",ISO 14001 Environmental Management,https://cdn11.bigcommerce.com/s-gsqdtqlmjd/images/stencil/600x600/products/5899/12506/526%252050__45936.1764124120.jpg?c=1
92,Faber-Castell Dust-Free Eraser,Faber-Castell,30,1 piece,"This eraser is made from thermoplastic rubber, reducing waste and dust. It is latex-free and phthalate-free, ensuring safety and environmental care.",FSC (Forest Stewardship Council),https://cdn11.bigcommerce.com/s-76f8tigafr/images/stencil/1280x1280/products/8022/20845/faber-castell-dust-free-eraser__37872.1724791420.png?c=1
93,Kokuyo Campus Student Eraser,Kokuyo,40,1 piece,"Composed of eco-friendly materials, this eraser offers smooth erasing with less debris. It is designed for minimal environmental impact.",Eco Mark (Japan Environment Association),https://m.media-amazon.com/images/I/711YQyOoYNL.jpg
101,Staedtler Metal Double Hole Sharpener,Staedtler,150,1 unit,"Made from durable metal, this sharpener is designed for longevity, reducing waste. It features two holes for different pencil sizes and is fully recyclable.",FSC Certified Packaging,https://texasart.b-cdn.net/skupix/2000x2000/4/s40015.jpg
102,Faber-Castell Eco Pencil Sharpener,Faber-Castell,120,1 unit,"Crafted from recycled plastic, this sharpener is lightweight and durable. It is designed to minimize waste and is packaged in recyclable materials.",ISO 14001 Environmental Management,https://http2.mlstatic.com/D_Q_NP_2X_855286-MLB107195281285_022026-P.webp
103,Maped Greenlogic Sharpener,Maped,100,1 unit,"Made with 100% recycled plastic, this sharpener is part of Maped's Greenlogic range, focusing on sustainability and reduced environmental impact.",Blue Angel Certified,"https://m.media-amazon.com/images/I/61wF6Qgz5OS._AC_UF1000,1000_QL80_.jpg"
111,Fevicol Ezee Squeeze White Glue,Pidilite Industries,50,100 grams,"Fevicol Ezee Squeeze is a non-toxic, water-based adhesive suitable for paper and crafts. It is packaged in a recyclable bottle, reducing plastic waste.",ISO 14001 Environmental Management System,https://i.ebayimg.com/images/g/mEUAAOSwE85i~YsL/s-l400.jpg
112,EcoGlue Premium Wood Adhesive,Eclectic Products,300,237 ml,"EcoGlue is a low-VOC, solvent-free adhesive made from renewable resources. It is ideal for woodworking and is packaged in a recyclable container.",Green Seal Certified,https://extremehowto.com/wp-content/uploads/hotprod_images/0%201a1a1CaulksTT09.jpg
113,Elmer's School Glue Naturals,"Elmer's Products, Inc.",150,225 ml,"Elmer's School Glue Naturals is made from 99% natural ingredients, including a plant-based formula. It is non-toxic and safe for children.",USDA Certified Biobased Product,https://m.media-amazon.com/images/I/71QNTFdfleL.jpg
121,EcoPro Bamboo Paint Brush,EcoPro Tools,350,1 brush,"Made with sustainably sourced bamboo handles and recycled metal ferrules, this brush is designed for durability and minimal environmental impact.","FSC (Forest Stewardship Council), Cradle to Cradle Certified",https://www.eigshowbeauty.com/cdn/shop/products/eigshow-beauty-ecopro-bamboo-fiber-11pcs-sunset-mist-purple-brush-kit-30476237963333_510x@2x.progressive.jpg?v=1646128440
122,GreenStroke Natural Bristle Brush,GreenStroke India,400,1 brush,"Features natural bristles and a biodegradable handle, reducing plastic waste. Ideal for various painting projects with a focus on sustainability.","USDA Certified Biobased Product, Green Seal","https://m.media-amazon.com/images/I/91FTDepMxZL._AC_UF894,1000_QL80_.jpg"
123,EarthCare Recycled Paint Brush,EarthCare Innovations,300,1 brush,"Crafted from recycled materials, this brush offers a sustainable choice for eco-conscious consumers, without compromising on quality or performance.","ISO 14001, Global Recycled Standard (GRS)",http://jennygsartsupply.com/cdn/shop/files/f19c340d5fed5442c5dd7c9358d4a58ac39754d94dc6c8526a6b2348eb3ebafe.jpg?v=1729643588
